checking_account_status,duration,credit_history,purpose,credit_amount,savings_account,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit risk
< 0 DM,6,critical account / other credits existing,car (new),3676,< 100 DM,1 ≤ … < 4 years,1,male (single),none,3,real estate,37,none,rent,3,skilled employee,2,none,yes,good
0 ≤ … < 200 DM,12,existing credits paid back duly till now,car (new),1295,< 100 DM,< 1 year,3,female (divorced/separated/married),none,1,car or other,25,none,rent,1,skilled employee,1,none,yes,bad
< 0 DM,12,existing credits paid back duly till now,education,1200,unknown / no savings account,1 ≤ … < 4 years,4,female (divorced/separated/married),none,4,building society savings / life insurance,23,bank,rent,1,skilled employee,1,yes,yes,good
no checking account,12,existing credits paid back duly till now,car (new),1101,< 100 DM,1 ≤ … < 4 years,3,male (married/widowed),none,2,real estate,27,none,own,2,skilled employee,1,yes,yes,good
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown / no savings account,< 1 year,1,female (divorced/separated/married),none,4,car or other,20,none,rent,1,skilled employee,1,none,yes,good
0 ≤ … < 200 DM,36,delay in paying off in the past,car (new),2225,< 100 DM,≥ 7 years,4,male (single),none,4,unknown / no property,57,bank,for free,2,skilled employee,1,yes,yes,bad
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown / no savings account,≥ 7 years,4,male (single),none,4,building society savings / life insurance,31,none,own,1,skilled employee,1,none,yes,bad
no checking account,12,existing credits paid back duly till now,car (used),1413,≥ 1000 DM,4 ≤ … < 7 years,3,male (single),none,2,building society savings / life insurance,55,none,own,1,skilled employee,1,none,no,good
≥ 200 DM,10,existing credits paid back duly till now,furniture/equipment,1275,< 100 DM,< 1 year,4,female (divorced/separated/married),none,2,building society savings / life insurance,23,none,own,1,skilled employee,1,none,yes,good
0 ≤ … < 200 DM,24,existing credits paid back duly till now,radio/TV,2896,100 ≤ … < 500 DM,< 1 year,2,male (single),none,1,car or other,29,none,own,1,skilled employee,1,none,yes,good
no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,< 100 DM,≥ 7 years,4,male (single),none,2,real estate,50,none,own,2,skilled employee,1,none,yes,good
< 0 DM,18,existing credits paid back duly till now,radio/TV,2389,< 100 DM,< 1 year,4,female (divorced/separated/married),none,1,car or other,27,stores,own,1,skilled employee,1,none,yes,good
no checking account,36,existing credits paid back duly till now,car (used),8133,< 100 DM,1 ≤ … < 4 years,1,female (divorced/separated/married),none,2,building society savings / life insurance,30,bank,own,1,skilled employee,1,none,yes,good
≥ 200 DM,18,existing credits paid back duly till now,furniture/equipment,2864,< 100 DM,1 ≤ … < 4 years,2,male (single),none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,bad
0 ≤ … < 200 DM,12,existing credits paid back duly till now,car (new),6078,< 100 DM,4 ≤ … < 7 years,2,male (single),none,2,car or other,32,none,own,1,skilled employee,1,none,yes,good
0 ≤ … < 200 DM,6,existing credits paid back duly till now,radio/TV,368,unknown / no savings account,≥ 7 years,4,male (single),none,4,building society savings / life insurance,38,none,own,1,skilled employee,1,none,yes,good
< 0 DM,12,critical account / other credits existing,radio/TV,385,< 100 DM,4 ≤ … < 7 years,4,female (divorced/separated/married),none,3,real estate,58,none,own,4,unskilled resident,1,yes,yes,good
0 ≤ … < 200 DM,10,all credits paid back at this bank,radio/TV,1048,< 100 DM,1 ≤ … < 4 years,4,male (single),none,4,real estate,23,stores,own,1,unskilled resident,1,none,yes,good
< 0 DM,24,critical account / other credits existing,car (used),6419,< 100 DM,≥ 7 years,2,female (divorced/separated/married),none,4,unknown / no property,44,none,for free,2,management / highly qualified / self-employed / officer,2,yes,yes,good
< 0 DM,24,delay in paying off in the past,radio/TV,1024,< 100 DM,< 1 year,4,male (married/widowed),none,4,real estate,48,stores,own,1,skilled employee,1,none,yes,bad
< 0 DM,24,existing credits paid back duly till now,car (new),2303,< 100 DM,≥ 7 years,4,male (single),co-applicant,1,real estate,45,none,own,1,skilled employee,1,none,yes,bad
0 ≤ … < 200 DM,9,existing credits paid back duly till now,radio/TV,458,< 100 DM,1 ≤ … < 4 years,4,male (single),none,3,real estate,24,none,own,1,skilled employee,1,none,yes,good
< 0 DM,12,critical account / other credits existing,furniture/equipment,2246,< 100 DM,≥ 7 years,3,male (single),none,3,building society savings / life insurance,60,none,own,2,skilled employee,1,none,yes,bad
< 0 DM,12,existing credits paid back duly till now,radio/TV,727,100 ≤ … < 500 DM,< 1 year,4,male (married/widowed),none,3,unknown / no property,33,none,own,1,unskilled resident,1,yes,yes,bad
no checking account,18,existing credits paid back duly till now,radio/TV,1453,< 100 DM,< 1 year,3,female (divorced/separated/married),none,1,real estate,26,none,own,1,skilled employee,1,none,yes,good
no checking account,12,existing credits paid back duly till now,radio/TV,2171,< 100 DM,< 1 year,2,female (divorced/separated/married),none,2,car or other,29,bank,own,1,skilled employee,1,none,yes,good
no checking account,9,existing credits paid back duly till now,radio/TV,2697,< 100 DM,1 ≤ … < 4 years,1,male (single),none,2,real estate,32,none,own,1,skilled employee,2,none,yes,good
0 ≤ … < 200 DM,12,existing credits paid back duly till now,car (new),1007,≥ 1000 DM,1 ≤ … < 4 years,4,male (married/widowed),none,1,real estate,22,none,own,1,skilled employee,1,none,yes,good
no checking account,12,critical account / other credits existing,education,701,< 100 DM,1 ≤ … < 4 years,4,male (single),none,2,car or other,32,none,own,2,skilled employee,1,none,yes,good
< 0 DM,12,all credits paid back at this bank,radio/TV,626,< 100 DM,1 ≤ … < 4 years,4,female (divorced/separated/married),none,4,real estate,24,bank,own,1,unskilled resident,1,none,yes,bad
< 0 DM,45,existing credits paid back duly till now,radio/TV,1845,< 100 DM,1 ≤ … < 4 years,4,male (single),none,4,unknown / no property,23,none,for free,1,skilled employee,1,yes,yes,bad
0 ≤ … < 200 DM,60,existing credits paid back duly till now,car (new),14027,< 100 DM,4 ≤ … < 7 years,4,male (single),none,2,unknown / no property,27,none,own,1,management / highly qualified / self-employed / officer,1,yes,yes,bad
no checking account,30,critical account / other credits existing,radio/TV,5771,< 100 DM,4 ≤ … < 7 years,4,female (divorced/separated/married),none,2,car or other,25,none,own,2,skilled employee,1,none,yes,good
no checking account,24,existing credits paid back duly till now,car (new),1525,≥ 1000 DM,4 ≤ … < 7 years,4,female (divorced/separated/married),none,3,car or other,34,none,own,1,skilled employee,2,yes,yes,good
no checking account,22,existing credits paid back duly till now,car (new),1283,unknown / no savings account,4 ≤ … < 7 years,4,female (divorced/separated/married),none,4,building society savings / life insurance,25,none,rent,1,skilled employee,1,none,yes,good
no checking account,6,existing credits paid back duly till now,radio/TV,518,< 100 DM,1 ≤ … < 4 years,3,female (divorced/separated/married),none,1,real estate,29,none,own,1,skilled employee,1,none,yes,good
< 0 DM,48,no credits taken / all paid back duly,furniture/equipment,7119,< 100 DM,1 ≤ … < 4 years,3,male (single),none,4,unknown / no property,53,none,for free,2,skilled employee,2,none,yes,bad
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,< 100 DM,1 ≤ … < 4 years,2,male (divorced/separated),none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good
no checking account,48,critical account / other credits existing,car (used),2751,unknown / no savings account,≥ 7 years,4,male (single),none,3,car or other,38,none,own,2,skilled employee,2,yes,yes,good
no checking account,6,existing credits paid back duly till now,repairs,660,500 ≤ … < 1000 DM,4 ≤ … < 7 years,2,male (married/widowed),none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,good
no checking account,24,critical account / other credits existing,car (new),2463,100 ≤ … < 500 DM,4 ≤ … < 7 years,4,male (married/widowed),none,3,building society savings / life insurance,27,none,own,2,skilled employee,1,yes,yes,good
< 0 DM,18,existing credits paid back duly till now,car (new),2249,100 ≤ … < 500 DM,4 ≤ … < 7 years,4,male (single),none,3,car or other,30,none,own,1,management / highly qualified / self-employed / officer,2,yes,yes,good
0 ≤ … < 200 DM,48,no credits taken / all paid back duly,business,14421,< 100 DM,1 ≤ … < 4 years,2,male (single),none,2,car or other,25,none,own,1,skilled employee,1,yes,yes,bad
< 0 DM,18,critical account / other credits existing,car (new),3966,< 100 DM,≥ 7 years,1,female (divorced/separated/married),none,4,real estate,33,bank,rent,3,skilled employee,1,yes,yes,bad
